model|shuffle|time|usedCC|genCC|lmax|algorithm|solver|difficulty|result
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|3.7338638305664062|5|35|2|pqx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|282.2690007686615|34|34|2|qx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|178.85947608947754|12|35|2|pqx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|555.3989684581757|34|34|2|qx|Sat4j|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|354.13117837905884|10|35|2|pqx|Sat4j|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|5.83549427986145|34|34|1|qx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|5.772616863250732|1|33|1|pqx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|279.4788694381714|34|34|1|qx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|278.5488429069519|1|33|1|pqx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|558.5158936977386|34|34|1|qx|Sat4j|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|549.7958660125732|1|33|1|pqx|Sat4j|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|5.801982641220093|34|34|0|qx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|279.543470621109|34|34|0|qx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|553.2746706008911|34|34|0|qx|Sat4j|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|0.06578993797302246|34|34|4|qx|Glucose3|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
